id|genre|release year|director|cast
0|['unknown']|1901|['unknown']|['unknown']
1|['unknown']|1901|['unknown']|['unknown']
2|['unknown']|1901|['unknown']|['unknown']
3|['unknown']|1901|['unknown']|['unknown']
4|['unknown']|1902|['George S. Fleming', 'Edwin S. Porter']|['unknown']
5|['unknown']|1903|['Cecil Hepworth']|['May Clark']
6|['western']|1903|['Edwin S. Porter']|['unknown']
7|['comedy']|1904|['Wallace McCutcheon']|['unknown']
8|['unknown']|1905|['Edwin Stanton Porter']|['unknown']
9|['unknown']|1905|['Edwin Stanton Porter']|['unknown']
10|['short']|1906|['Wallace McCutcheon', 'Edwin S. Porter']|['unknown']
11|['short', 'action', 'crime', 'western']|1906|['Francis J. Marion', 'Wallace McCutcheon']|['unknown']
12|['short', 'film']|1906|['Edwin S. Porter']|['unknown']
13|['biographical']|1907|['Wallace McCutcheon', 'Ediwin S. Porter']|['William Craven', 'Florence Lawrence']
14|['comedy']|1907|['unknown']|['unknown']
15|['comedy']|1907|['Edwin Stanton Porter']|['Bertha Regustus', 'Edward Boulden']
16|['drama']|1908|['D. W. Griffith']|['Arthur V. Johnson', 'Linda Arvidson']
17|['drama']|1908|['D. W. Griffith']|['D. W. Griffith']
18|['comedy']|1908|['D.W. Griffith']|['Harry Solter', 'Linda Arvidson']
19|['adventure']|1908|['D. W. Griffith']|['Charles Inslee']
20|['drama']|1908|['unknown']|['Tom Ricketts']
21|['western']|1908|['D. W. Griffith']|['Florence Auer', 'John G. Adolfi']
22|['drama']|1909|['D. W. Griffith']|['Marion Leonard']
23|['drama']|1909|['D. W. Griffith']|['Arthur V. Johnson']
24|['drama']|1909|['D. W. Griffith']|['unknown']
25|['unknown']|1909|['D.W. Griffith']|['Marion Leonard']
26|['drama']|1910|['D.W. Griffith']|['Mary Pickford', 'Mack Sennett']
27|['unknown']|1910|['J. Searle Dawley']|['Marc McDermott', 'Charles Stanton Ogle']
28|['unknown']|1910|['J. Searle Dawley']|['Augustus Phillips', 'Charles Stanton Ogle', 'Mary Fuller']
29|['comedy']|1910|['unknown']|['unknown']
30|['drama']|1910|['D.W. Griffith']|['Henry B. Walthall']
31|['drama']|1910|['Sidney Olcott']|['Sidney Olcott', 'Gene Gauntier', "Thomas O'Connor"]
32|['short', 'fantasy']|1910|['unknown']|['Anna Rosemond', 'George Barnes', 'Frank H. Crane']
33|['drama']|1910|['D. W. Griffith']|['Mary Pickford', 'Henry B. Walthall']
34|['unknown']|1910|['D.W. Griffith']|['Clara T. Bracy', 'Mary Pickford', 'Mack Sennett']
35|['unknown']|1910|['Otis Turner (unconfirmed)']|['Bebe Daniels']
36|['silent', 'sports']|1911|['unknown']|['William Garwood', 'Marguerite Snow']
37|['drama']|1911|['Oscar Apfel']|['Charles Ogle', 'Natalie Jerome']
38|['drama']|1911|['Colin Campbell']|['Edgar G. Wynn']
39|['unknown']|1911|['unknown']|['William Garwood']
